scorer,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000,DLC_resnet50_MichaelsTestNov8shuffle1_100000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,74.54257202148438,89.33929443359375,0.9999692440032959,65.89949798583984,110.20013427734375,0.9999696016311646,90.80265045166016,95.0373306274414,0.9999257326126099,140.34457397460938,181.3499298095703,0.9999949932098389
1,72.46819305419922,88.26979064941406,0.9999748468399048,65.14299011230469,108.52741241455078,0.9999661445617676,89.44413757324219,91.20394897460938,0.9999130964279175,141.54977416992188,177.39979553222656,0.9999915361404419
2,71.71665954589844,85.6802749633789,0.9999759197235107,63.4257698059082,104.93372344970703,0.9999518394470215,88.95816802978516,87.8396987915039,0.9999631643295288,143.75213623046875,173.86380004882812,0.9999949932098389
3,71.80840301513672,82.71829223632812,0.9999672174453735,63.25737380981445,101.1989974975586,0.9999808073043823,88.1310806274414,85.3377456665039,0.9999879598617554,145.8462677001953,170.5972900390625,0.9999973773956299
4,72.32818603515625,79.88764190673828,0.9999394416809082,63.25164031982422,98.61726379394531,0.9999772310256958,87.88465881347656,82.48892211914062,0.9999891519546509,148.2201690673828,166.9375457763672,0.9999960660934448
5,70.94231414794922,75.20767974853516,0.9999496936798096,62.80009460449219,95.52938842773438,0.9999208450317383,85.43650817871094,77.54622650146484,0.9999654293060303,149.6613311767578,161.99630737304688,0.999997615814209
6,70.53681945800781,73.33443450927734,0.9999681711196899,62.36844253540039,93.73527526855469,0.9998288154602051,85.36237335205078,75.32417297363281,0.999964714050293,151.59506225585938,158.0676727294922,0.9999843835830688
7,72.22199249267578,71.79739379882812,0.9999526739120483,64.0623550415039,92.96956634521484,0.9999042749404907,87.11536407470703,73.79551696777344,0.9999512434005737,153.21121215820312,153.42750549316406,0.999962568283081
8,74.63346099853516,72.25674438476562,0.9999254941940308,65.61847686767578,91.82089233398438,0.9999504089355469,89.37985229492188,74.02317810058594,0.999920129776001,154.5924072265625,148.4899139404297,0.9999876022338867
9,77.83358764648438,68.92446899414062,0.9999167919158936,66.80789184570312,88.32466125488281,0.9999585151672363,91.82372283935547,72.228759765625,0.9999493360519409,156.72752380371094,144.67474365234375,0.999984860420227
10,81.2900390625,67.77356719970703,0.9999306201934814,67.6032943725586,85.29592895507812,0.9999842643737793,93.1090087890625,70.48377227783203,0.9999762773513794,158.60052490234375,140.5020294189453,0.9999881982803345
11,85.73736572265625,64.44307708740234,0.9998244643211365,70.09253692626953,82.47925567626953,0.9999784231185913,95.58747100830078,69.03213500976562,0.9999879598617554,160.71168518066406,137.89613342285156,0.9999920129776001
12,88.60678100585938,63.012664794921875,0.9989868998527527,73.61687469482422,80.66506958007812,0.9999327659606934,99.65391540527344,68.30924224853516,0.9999957084655762,162.28756713867188,137.21099853515625,0.9999948740005493
13,93.5765151977539,62.61050796508789,0.9966691136360168,76.571533203125,79.28031921386719,0.9998106360435486,105.00482177734375,67.54438781738281,0.9999911785125732,164.59417724609375,136.4131622314453,0.9999939203262329
14,96.37100219726562,60.881202697753906,0.9994134902954102,79.23623657226562,77.37521362304688,0.9999198913574219,106.51762390136719,66.03923797607422,0.9999853372573853,167.61534118652344,135.29696655273438,0.9999858140945435
15,97.69860076904297,59.5313835144043,0.9994825124740601,81.65099334716797,77.42180633544922,0.9999468326568604,107.9619369506836,64.5713119506836,0.9999759197235107,171.1477813720703,134.1999053955078,0.9999908208847046
16,97.81717681884766,59.147518157958984,0.9994576573371887,83.3505630493164,76.39928436279297,0.9999642372131348,108.50775909423828,63.36536407470703,0.9999639987945557,173.293701171875,133.5807342529297,0.9999899864196777
17,96.4507064819336,59.96064758300781,0.999440610408783,84.19107818603516,77.56490325927734,0.9999399185180664,108.28067016601562,62.53010177612305,0.9999493360519409,176.14309692382812,131.8798065185547,0.9999932050704956
18,94.56840515136719,60.45675277709961,0.9988095760345459,84.076416015625,77.28840637207031,0.9999610185623169,107.67198181152344,60.351463317871094,0.9998934268951416,177.66400146484375,130.5159912109375,0.999997615814209
19,94.29571533203125,61.12706756591797,0.9973862767219543,84.70245361328125,77.65574645996094,0.9999648332595825,107.76493835449219,60.01820373535156,0.9998831748962402,178.44680786132812,129.36474609375,0.9999979734420776
20,95.70967102050781,62.586647033691406,0.996658444404602,85.40198516845703,78.33296203613281,0.9999706745147705,108.05680847167969,60.17209243774414,0.9998828172683716,179.64234924316406,128.268310546875,0.9999974966049194
21,95.1944580078125,64.96947479248047,0.9968262910842896,86.9406509399414,80.41858673095703,0.9999758005142212,108.02566528320312,60.4084358215332,0.9998964071273804,181.0130157470703,127.23116302490234,0.9999954700469971
22,94.47549438476562,65.72290802001953,0.9980347752571106,87.82079315185547,82.46533203125,0.9999799728393555,108.02008819580078,60.605857849121094,0.9998875856399536,182.2778778076172,126.74336242675781,0.9999946355819702
23,94.28498077392578,66.69257354736328,0.9972547888755798,88.59478759765625,83.18959045410156,0.9999852180480957,108.04077911376953,60.71092987060547,0.9999094009399414,184.3068084716797,127.6054916381836,0.9999815225601196
24,96.29893493652344,68.00666046142578,0.9935941100120544,89.47891235351562,83.48332214355469,0.9999833106994629,108.72357940673828,60.89408874511719,0.9999246597290039,185.2559356689453,127.82697296142578,0.9999872446060181
25,98.40435028076172,68.86347198486328,0.9864073991775513,91.56005096435547,84.41472625732422,0.9999829530715942,109.86156463623047,61.70547866821289,0.9999457597732544,186.07540893554688,128.36048889160156,0.9999899864196777
26,99.02323913574219,70.4948501586914,0.9898507595062256,93.6434326171875,85.86009979248047,0.9999740123748779,109.98733520507812,64.56893157958984,0.999962568283081,186.5725860595703,129.8424835205078,0.9999929666519165
27,96.95716094970703,74.32102966308594,0.9960053563117981,95.28971862792969,88.36325073242188,0.9998272061347961,108.33668518066406,65.68531036376953,0.999977707862854,188.15921020507812,130.9237518310547,0.9999921321868896
